Scene no.,evaporation_and_natural_disperson,persistence,oil_amount_to_recover,E_ss,E_sl,E_sw,E_sb,E_ssC,E_slC,E_swC,E_sbC,E_ssI,E_slI,E_swI,E_sbI,water_temp,wind,air_temp,ice,oil_density,oil_viscosity,retaining_capacity,shoreline_length,distance_to_inhabitation,seawater,seasurface,residue_recovery,soot_pollution,displacement,sufficient_mixing_energy,MCR options,CDU options,ISB options
Scene 557,0.101123596,0,0.483441801,0,1,0.5,1,0,0,0.5,0,1,0.5,0.5,0.5,0.705882353,0.528089888,0.490196078,0.616161616,0.408163265,0.894736842,0,0.652082569,0.856850716,0,0,1,1,0,1,-2,-10,8
Scene 558,0.662921348,0,0.014348674,1,0.5,1,0.5,0.5,0.5,0,0.5,0,0.5,0.5,0.5,0.333333333,0.460674157,0.31372549,0.303030303,0.387755102,0.526315789,0,0.317689948,0.742331288,0,0,1,1,0,1,10,-10,8
Scene 559,0.179775281,1,0.170158725,1,0.5,0.5,0.5,0,0,0,0.5,0.5,0,0.5,0.5,0.882352941,0.820224719,0.784313725,0.575757576,0.795918367,0.631578947,1,0.580058008,0.584867076,0,0,0,0,0,1,10,-2,10
Scene 560,0.595505618,1,0.972131879,0.5,0.5,1,0.5,0.5,0,1,0,0,0,1,1,0.607843137,0.056179775,0.901960784,0.121212121,0.693877551,0.631578947,1,0.304504837,0.175869121,0,0,0,0,1,0,10,-10,-2
Scene 561,0.595505618,1,0.349667955,0,0.5,0,1,1,0.5,1,0.5,0,0.5,0.5,0,0.117647059,0.078651685,0.098039216,0.282828283,0.612244898,0.684210526,1,0.087131864,0.867075665,0,0,1,1,0,0,-2,-10,8
Scene 562,0.146067416,0,0.563210628,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.823529412,0.606741573,0.078431373,0.161616162,0.142857143,0.315789474,0,0.113318174,0.627811861,0,0,1,1,1,0,10,-10,10
Scene 563,0.393258427,1,0.141317843,0.5,0,1,0.5,0.5,1,0.5,1,0.5,1,0,0.5,0.803921569,0.146067416,0.549019608,0.101010101,0.959183673,0.473684211,1,0.656497595,0.439672802,0,0,0,0,1,1,10,10,10
Scene 564,0.775280899,0,0.820006045,0.5,1,0.5,1,0.5,0,0.5,0,0.5,0,0.5,0,0.392156863,0.775280899,0.549019608,0.101010101,0.693877551,0.473684211,0,0.457980176,0.210633947,0,0,1,1,0,0,-2,-10,8
Scene 565,0.247191011,1,0.637669843,0.5,0.5,0.5,0,0.5,1,0.5,0,0.5,0.5,0.5,1,0.490196078,0.786516854,0.745098039,0.01010101,0.591836735,0.894736842,1,0.782212647,0.721881391,0,0,0,1,0,1,8,-10,8
Scene 566,0.314606742,1,0.495044225,1,0.5,0,0,0,0.5,0.5,0,0,0.5,0.5,0,0.764705882,0.674157303,0.843137255,0.848484848,0.673469388,0.473684211,1,0.708602347,0.82208589,0,0,1,0,1,0,10,-10,10
Scene 567,0.966292135,0,0.510070171,0.5,0.5,0.5,0.5,0,0.5,0.5,1,0,0.5,0.5,0,0.941176471,0.865168539,0.62745098,0.484848485,0.265306122,0.368421053,0,0.982816009,0.750511247,0,0,1,1,1,1,2,-2,10
Scene 568,0.157303371,1,0.081859585,0.5,1,0.5,0,0.5,0,0.5,1,0.5,0.5,0.5,0.5,0.862745098,0.123595506,0,0.606060606,0.204081633,0.736842105,1,0.423995535,0.513292434,0,0,1,1,0,0,10,-10,8
Scene 569,0.033707865,1,0.56245692,0.5,0,0.5,1,0.5,1,0.5,1,0.5,0,0.5,0,0.156862745,0.112359551,0.235294118,0.727272727,0.306122449,0.105263158,1,0.914949389,0.128834356,0,0,0,0,0,0,10,-10,10
Scene 570,0.853932584,1,0.896071693,0,0.5,0.5,0.5,0.5,0.5,0.5,0,1,0.5,0.5,1,0.431372549,0.449438202,0.588235294,0.151515152,0.102040816,0.315789474,1,0.871967852,0.791411043,0,0,1,0,0,1,-2,-10,10
Scene 571,0.550561798,0,0.345426777,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.37254902,0.95505618,0.784313725,0.404040404,0.448979592,0.631578947,0,0.055355402,0.695296524,0,0,0,0,0,0,-2,-10,10
Scene 572,0.876404494,1,0.517656543,0.5,0.5,0.5,1,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.803921569,0.247191011,0.019607843,0.363636364,0.795918367,0.210526316,1,0.169828718,0.431492843,0,0,0,1,1,1,8,10,10
Scene 573,0.640449438,0,0.114280283,0.5,1,1,0.5,0.5,0.5,1,0.5,0.5,0.5,0,0.5,0.392156863,0.853932584,0.823529412,0.161616162,0.040816327,0.526315789,0,0.454504979,0.513292434,0,0,0,0,0,0,10,-10,10
Scene 574,0.112359551,1,0.212193725,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,1,0.901960784,0.235955056,0.215686275,0.353535354,0.87755102,0.736842105,1,0.241981967,0.190184049,0,0,1,1,1,0,10,-10,10
Scene 575,0.494382022,1,0.68213198,1,0.5,0.5,0,0,0.5,0.5,1,0,0.5,0.5,0,0.862745098,0.213483146,0.725490196,0.212121212,0.06122449,0.526315789,1,0.577384589,0.231083845,0,0,0,0,0,1,-2,-2,8
Scene 576,0.505617978,1,0.080441201,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.862745098,0.775280899,0.215686275,0.202020202,0.530612245,0,1,0.435556104,0.357873211,0,0,1,0,0,0,8,-10,10
Scene 577,0.921348315,1,0.356049424,0,0.5,0.5,0,0,0.5,0,1,0,0.5,0,1,0.078431373,1,0.235294118,1,0.571428571,0.842105263,1,0.640614872,0.777096115,0,0,1,0,1,1,-2,-2,10
Scene 578,0.224719101,1,0.101246164,0.5,0.5,0,0.5,0,1,0,0,0,0,1,1,0.294117647,0.494382022,0.215686275,0.04040404,0.551020408,0.105263158,1,0.696999605,0.535787321,0,0,1,1,1,1,-2,-10,-2
Scene 579,0.573033708,1,0.948086296,0.5,0,0.5,1,0.5,0.5,0.5,1,0.5,1,0.5,1,0.333333333,0,0.784313725,0.141414141,0.591836735,0.368421053,1,0.811798774,0.337423313,0,0,1,0,0,1,-2,10,10
Scene 580,0.02247191,0,0.678626708,0.5,0,0,0.5,0.5,0.5,1,0.5,0.5,0,0,0.5,0.784313725,0.247191011,0.803921569,0.878787879,0.693877551,0.789473684,0,0.797007753,0.488752556,0,0,1,0,0,1,10,10,10
Scene 581,0.415730337,1,0.847802337,0.5,0,1,1,0.5,0.5,0,0,0.5,0,0.5,0.5,0.156862745,0.820224719,0.470588235,0.060606061,0,0.263157895,1,0.386794436,0.54396728,1,0,0,0,0,1,10,-10,10
Scene 582,0.93258427,0,0.655662652,1,0.5,1,1,1,0.5,1,0.5,1,0.5,0,1,0.588235294,0.966292135,1,0,0.897959184,0.368421053,0,0.446694747,0.91002045,0,0,1,1,0,1,-2,10,8
Scene 583,0.516853933,1,0.182435572,0.5,0.5,0.5,0,0.5,0.5,1,0.5,0.5,0.5,1,0,0.176470588,0.797752809,0.509803922,0.929292929,0.632653061,1,1,0.860359491,0.237218814,0,0,1,0,0,1,8,10,10
Scene 584,0.853932584,0,0.204120871,1,0,0.5,0.5,1,1,0.5,0.5,0.5,0,0.5,0.5,0.921568627,0.561797753,0.568627451,0.97979798,0.367346939,0.315789474,0,0.732818353,0.623721881,0,0,1,0,0,1,-2,10,10
Scene 585,0.179775281,0,0.734644807,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.215686275,0.415730337,0.176470588,1,0.693877551,0.105263158,0,0.718336939,0.073619632,0,0,0,0,0,1,2,10,10
Scene 586,0.370786517,1,0.641592718,0.5,1,0.5,0.5,0.5,1,0.5,0.5,0.5,1,0.5,0.5,0.960784314,0.449438202,0.392156863,0.535353535,0.306122449,0.631578947,1,0.799950604,0.54192229,0,0,0,0,1,1,10,10,10
Scene 587,0.06741573,0,0.96858253,0.5,1,1,0.5,1,0,0,0.5,0,0,0,0.5,0.039215686,0.033707865,0.960784314,0.616161616,0.959183673,0.157894737,0,0.233918387,0.173824131,0,0,1,1,1,1,10,10,-2
Scene 588,0.426966292,0,0.917553323,1,0.5,0,0,0,0,0.5,0,1,1,0.5,1,0.196078431,0.02247191,0.411764706,0.585858586,0.714285714,0,0,0.116991549,0.715746421,0,0,0,1,0,0,-2,-10,8
Scene 589,0.831460674,1,0.962097649,0.5,0.5,0,0.5,1,0.5,0.5,1,1,0.5,1,0,0.68627451,1,0.156862745,0.97979798,0.653061224,0.578947368,1,0.323428225,0.615541922,0,0,0,1,0,0,-2,-10,8
Scene 590,0.101123596,1,0.977188078,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.764705882,0.943820225,0.62745098,0.555555556,1,0.842105263,1,0.306624741,0.879345603,0,0,0,0,0,1,10,10,10
Scene 591,0.775280899,0,0.852202464,0.5,1,0.5,0.5,0,0,1,0.5,0,0.5,1,0.5,0.254901961,0.831460674,0.078431373,0.222222222,0.020408163,0.368421053,0,0.420282592,0.879345603,0,0,1,0,1,1,-2,-2,-2
Scene 592,0.06741573,0,0.279994293,0,0.5,1,0.5,0.5,0.5,0,0.5,0.5,0.5,1,0.5,0.215686275,0.04494382,0.666666667,0.525252525,0.428571429,0.368421053,0,0.958426259,0.435582822,0,0,0,1,1,0,10,-10,10
Scene 593,0.921348315,0,0.736088745,0.5,1,1,1,0.5,1,1,0,0.5,1,0.5,0.5,0.392156863,0.325842697,0.764705882,0.757575758,0.387755102,0.789473684,0,0.808720909,0.402862986,0,0,0,0,1,0,-2,-10,10
Scene 594,0.752808989,0,0.783541102,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.274509804,0.696629213,0,0.232323232,0.346938776,0.263157895,0,0.097796507,0.662576687,0,0,1,1,0,0,2,-10,8
Scene 595,0.898876404,0,0.029987847,0.5,0.5,1,0,0,1,0.5,0,0,0,0,1,0.862745098,0.651685393,0.411764706,0.747474747,0.918367347,1,0,0.497549961,0.893660532,0,0,0,1,1,1,-2,-10,-2
Scene 596,0.573033708,0,0.527120907,1,0.5,1,0,0,0.5,0,0.5,0,0.5,1,0.5,0.490196078,0.707865169,0.647058824,0.898989899,0.204081633,0.157894737,0,0.808104696,0.732106339,0,0,0,1,0,1,10,-2,8
Scene 597,0.865168539,0,0.298231316,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.666666667,0.528089888,0.058823529,0.919191919,0.632653061,0.421052632,0,0.695394589,0.588957055,0,0,0,0,0,0,-2,-10,10
Scene 598,0.393258427,0,0.694446044,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.960784314,0.696629213,0.215686275,0.474747475,0.795918367,0.631578947,0,0.927954075,0.349693252,0,0,0,0,1,1,10,10,10
Scene 599,0.08988764,0,0.201116617,0.5,1,1,0.5,1,0,1,0.5,0.5,0,1,0.5,0.176470588,0.157303371,0.862745098,0.242424242,0.612244898,0.684210526,0,0.970071349,0.022494888,0,0,0,1,0,1,10,10,8
Scene 600,0.707865169,1,0.570074937,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,1,0.5,0.5,0,0.019607843,0.719101124,0.725490196,0.121212121,0.959183673,0.842105263,1,0.970547841,0.865030675,0,0,1,1,0,1,8,-10,8
Scene 601,0.696629213,0,0.601284453,1,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.490196078,0.685393258,0.098039216,0.696969697,0.387755102,0.315789474,0,0.206421892,0.734151329,0,0,1,1,1,1,-2,10,10
Scene 602,0.573033708,1,0.394359866,1,0.5,0.5,0,1,0.5,0.5,0.5,0,0.5,0.5,1,0.156862745,0.404494382,0.176470588,0.808080808,0.06122449,0.526315789,1,0.97850242,0.775051125,0,0,0,0,0,0,10,-10,-2
Scene 603,0.640449438,1,0.367435481,0.5,1,1,0.5,1,0.5,0.5,0.5,0.5,0.5,0,1,0.882352941,0.337078652,0.705882353,0.171717172,0.12244898,0.842105263,1,0.974675614,0.91002045,0,0,0,1,0,1,-2,10,8
Scene 604,0.943820225,0,0.229014594,0.5,0.5,0,0.5,0.5,0.5,0,0.5,0.5,0.5,0,0.5,0.823529412,0.696629213,0.745098039,0.494949495,0.897959184,0.894736842,0,0.750195111,0.99795501,0,0,1,1,0,0,-2,-10,8
Scene 605,0.213483146,1,0.744869849,0,1,0.5,0,0.5,0,1,0,0,1,1,0,0.862745098,0.651685393,0.588235294,0.535353535,0.693877551,0.684210526,1,0.932056065,0.574642127,0,0,0,1,0,1,10,-10,8
Scene 606,0.966292135,1,0.162497242,0.5,0.5,0.5,1,0.5,0.5,0.5,1,0.5,0.5,0.5,1,0.980392157,0.775280899,0.921568627,0.696969697,0.06122449,0.210526316,1,0.890245361,0.869120654,0,0,1,0,0,1,10,10,10
Scene 607,0.696629213,0,0.156729638,1,0.5,1,0.5,0,0.5,0,0.5,0,0.5,0,0.5,0.411764706,0.707865169,0.117647059,0.97979798,0.530612245,0.684210526,0,0.136166528,0.124744376,0,0,1,1,1,0,-2,-10,10
Scene 608,0.370786517,1,0.16771429,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,1,0.450980392,0.730337079,0.176470588,0.848484848,0.020408163,0.631578947,1,0.864191363,0.496932515,0,0,1,1,1,0,10,-10,10
Scene 609,0.842696629,1,0.589663317,0.5,0.5,0.5,1,1,0.5,0.5,0.5,1,0.5,0.5,0.5,0.588235294,0.483146067,0.019607843,0.626262626,0.428571429,0.684210526,1,0.110643206,0.008179959,0,0,1,1,0,1,8,10,8
Scene 610,0.348314607,0,0.1912349,0.5,0.5,0.5,0,0.5,1,0.5,0.5,0.5,1,0.5,1,0.764705882,0.820224719,0.31372549,0.363636364,0.489795918,0.263157895,0,0.191301666,0.895705521,0,0,1,1,1,1,10,10,10
Scene 611,0.370786517,1,0.954363662,1,0.5,0.5,0.5,0.5,0.5,0.5,1,1,0,0.5,0,0.411764706,0.561797753,0.568627451,0.434343434,0.693877551,0.157894737,1,0.551817458,0.331288344,0,0,1,0,1,1,10,10,10
Scene 612,0.696629213,0,0.76075348,1,0.5,0,0,1,1,0,1,0,0,0.5,0.5,0.254901961,0.314606742,0.62745098,0.141414141,0.734693878,0.157894737,0,0.365408596,0.924335378,0,0,0,0,1,1,-2,10,-2
Scene 613,0.696629213,1,0.448371822,0,0.5,0,1,0,0.5,0.5,1,0,0.5,0,0.5,0.078431373,0.494382022,0.254901961,0.111111111,0.530612245,0.842105263,1,0.787742633,0.625766871,0,0,0,0,1,0,-2,-10,8
Scene 614,0.494382022,0,0.094472426,0,0.5,0,0,0,0.5,0.5,0.5,1,0.5,0.5,0.5,0.764705882,0.235955056,0.62745098,0.424242424,0.897959184,0.263157895,0,0.050446163,0.349693252,0,0,0,0,1,0,10,-10,10
Scene 615,0.325842697,0,0.576862896,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0.5,1,0.68627451,0.06741573,0.823529412,0.414141414,0.163265306,0.684210526,0,0.240828815,0.799591002,0,0,1,1,1,0,-2,-10,10
Scene 616,0.707865169,1,0.62845864,0.5,0.5,0.5,1,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.274509804,0.797752809,0.980392157,0.878787879,0.653061224,0.894736842,1,0.041543872,0.435582822,0,0,1,0,0,1,8,-10,10
Scene 617,0.483146067,0,0.017006274,0.5,0.5,1,0.5,0.5,0.5,0,0.5,0.5,0.5,0,0.5,0.274509804,0.719101124,0.176470588,0.252525253,0.163265306,0.368421053,0,0.652152215,0.975460123,0,0,0,1,1,0,-2,-10,10
Scene 618,0.213483146,1,0.657222434,0.5,1,0.5,1,0.5,0.5,0.5,1,0.5,1,0.5,0.5,0.529411765,0.471910112,0.784313725,0.191919192,0.734693878,0.473684211,1,0.064666949,0.877300613,0,0,1,0,1,1,-2,10,10
Scene 619,0.93258427,1,0.71318622,1,0.5,0.5,1,0,0.5,0.5,1,0,0.5,0.5,1,0.725490196,0.303370787,0.392156863,0.515151515,0.816326531,0.947368421,1,0.861575829,0.869120654,0,0,1,0,1,1,-2,-2,-2
Scene 620,0.719101124,0,0.276491847,0,0.5,0.5,0.5,0,1,0.5,0.5,1,1,0.5,0.5,0.921568627,0.483146067,0.568627451,0.535353535,0.510204082,0.526315789,0,0.151230007,0.889570552,0,0,1,1,1,1,10,10,10
Scene 621,0.752808989,0,0.161520228,1,0.5,1,0.5,1,0.5,1,0.5,1,0.5,0.5,0.5,0.117647059,0.831460674,0.882352941,0.474747475,0.040816327,0.842105263,0,0.014863263,0.775051125,0,0,0,1,1,0,-2,-10,10
Scene 622,0.797752809,1,0.035178422,0.5,0.5,1,0,0.5,0.5,0,1,0.5,0.5,1,0,0.529411765,0.516853933,0.960784314,0.949494949,0.795918367,0.894736842,1,0.935051591,0.734151329,0,0,0,0,1,0,10,-10,10
Scene 623,0.91011236,1,0.088232247,1,0.5,1,0,0.5,0.5,1,1,0.5,0.5,0,1,0.078431373,0.269662921,0.901960784,0.95959596,0.142857143,0.368421053,1,0.153113524,0.411042945,0,0,1,1,0,1,-2,10,8
Scene 624,0.606741573,0,0.46697198,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.196078431,0.685393258,0.705882353,0.878787879,0.795918367,0.105263158,0,0.787337872,0.844580777,0,0,1,1,1,0,-2,-10,10
Scene 625,0.988764045,1,0.054233582,1,0.5,1,0.5,0.5,0.5,1,1,1,0.5,0,0.5,0.509803922,0.033707865,0.745098039,0.949494949,1,1,1,0.875201945,0.838445808,0,0,1,0,1,0,10,-10,10
Scene 626,0.123595506,0,0.021450133,0.5,0.5,1,0.5,0.5,0.5,0,0,0.5,0.5,1,0,0.039215686,0.438202247,0.607843137,0.747474747,0.714285714,0.210526316,0,0.47949996,0.492842536,0,0,1,0,0,1,-2,-10,10
Scene 627,0.752808989,0,0.650669868,0.5,0,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.392156863,0.966292135,0.68627451,0.939393939,0.510204082,0.315789474,0,0.870840436,0.049079755,0,0,0,1,0,0,-2,-10,8
Scene 628,0.101123596,1,0.595686705,0.5,0.5,0,0.5,0.5,0.5,0,0.5,0.5,0.5,0,0.5,0.607843137,0.561797753,0.509803922,0.141414141,0.224489796,0.157894737,1,0.766869868,0.400817996,0,0,0,1,1,0,10,-10,10
Scene 629,0.505617978,1,0.118205873,0.5,1,0,1,0.5,0,0,0.5,0.5,0.5,0,0,0.196078431,0.97752809,0.62745098,0.434343434,0.673469388,0.842105263,1,0.195028768,0.705521472,0,0,0,1,1,0,10,-10,10
Scene 630,0.415730337,1,0.03772207,0.5,1,0.5,1,0.5,0,0.5,0,0.5,1,0.5,1,0.215686275,0.505617978,0.588235294,0.707070707,0.693877551,0.684210526,1,0,0.605316973,0,0,1,1,1,0,-2,-10,10
Scene 631,0.370786517,1,0.5021843,0,1,0.5,0.5,0.5,0,1,0,0,0.5,1,0.5,0.156862745,0.573033708,0.254901961,0.606060606,0.612244898,0.052631579,1,0.211264364,0.836400818,0,0,0,1,1,0,10,-10,-2
Scene 632,0.988764045,1,0.997997687,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.31372549,0.842696629,0,0.636363636,0.489795918,0.263157895,1,0.691319621,0.627811861,0,0,1,0,0,0,8,-10,10
Scene 633,0.314606742,0,0.76039044,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.137254902,0.797752809,1,0.555555556,0.87755102,0.052631579,0,0.308357433,0.429447853,0,0,1,1,0,1,10,10,8
Scene 634,0.314606742,0,0.113477835,0,1,0.5,0.5,0.5,1,0.5,0,0,1,0,1,0.745098039,0.820224719,0.588235294,0.939393939,0.367346939,0.421052632,0,0.769263444,0.950920245,0,1,0,0,1,1,-2,-10,10
Scene 635,0.887640449,1,0.213712632,0.5,0.5,1,0,0.5,0.5,0,1,0.5,0.5,0.5,0,0.235294118,0.842696629,0.431372549,0.414141414,0.244897959,0.736842105,1,0.905796622,0.143149284,0,0,1,0,1,0,-2,-10,10
Scene 636,0,1,0.768284222,1,0.5,0.5,1,1,0.5,0.5,1,0,1,0.5,0.5,0.862745098,0.685393258,0.725490196,0.858585859,0,0.210526316,1,0.212048204,0.887525562,1,0,1,1,1,1,-2,10,10
Scene 637,0.460674157,1,0.812596986,0,1,0.5,1,1,0.5,1,1,0,1,0.5,0,0.862745098,0.460674157,0.509803922,0.898989899,0.244897959,0.526315789,1,0.169746351,0.703476483,0,0,1,0,1,0,10,-10,10
Scene 638,0.460674157,1,0.904117171,1,0.5,0.5,0,0,0.5,0.5,0.5,0,0.5,0.5,1,0.529411765,0.943820225,0.705882353,0.292929293,1,0,1,0.651491838,0.421267894,0,0,1,1,0,0,-2,-10,8
Scene 639,0.528089888,0,0.778476552,0.5,0,0.5,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.823529412,0.460674157,0.666666667,0.858585859,0.408163265,0.631578947,0,0.40436385,0.977505112,0,0,0,1,1,0,-2,-10,10
Scene 640,0.393258427,0,0.849970535,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.333333333,0.292134831,0.607843137,0.484848485,0.326530612,0.578947368,0,0.376196692,0.777096115,0,0,0,0,0,1,10,10,10
Scene 641,0.494382022,0,0.43657827,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0,0.5,0.5,0.5,0.529411765,0.393258427,0.098039216,0.939393939,0.265306122,0.631578947,0,0.980798829,0.826175869,0,0,0,0,0,0,10,-10,10
Scene 642,0.764044944,0,0.545169535,0,1,0.5,0.5,0,0.5,0.5,0.5,0,1,0.5,0.5,0.470588235,0.95505618,0,0.909090909,0.612244898,0.105263158,0,0.189894166,0.977505112,0,0,1,0,0,1,10,10,10
Scene 643,0.438202247,0,0.348649501,0.5,0.5,0.5,0,0.5,0.5,0.5,1,0.5,0.5,0,0.5,0.647058824,0.752808989,0.529411765,0.353535354,0.244897959,0.894736842,0,0.54733358,0.511247444,0,0,1,1,1,0,10,-10,10
Scene 644,0.719101124,1,0.126080066,0.5,0.5,0,1,0.5,0.5,0.5,0,0.5,0.5,0.5,0,0.450980392,0.08988764,0.078431373,0.464646465,0.959183673,0.842105263,1,0.120557535,0.040899796,0,0,0,1,0,1,-2,-10,8
Scene 645,0.213483146,1,0.986383961,0.5,0.5,0.5,1,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0.078431373,0.179775281,0.117647059,0.777777778,0.530612245,0.578947368,1,0.33887752,0.576687117,0,0,0,0,1,0,8,-10,10
Scene 646,1,0,0.074243922,0.5,0.5,0,0.5,0.5,1,1,1,0.5,0,0,0,0.37254902,0.06741573,0.352941176,0.727272727,0.346938776,0.578947368,0,0.158786972,0.99795501,0,0,1,1,0,1,-2,10,8
Scene 647,0.831460674,0,0.809983181,0.5,0.5,0,1,0.5,0.5,0.5,0,0.5,0.5,0.5,0,0.725490196,0.719101124,0.68627451,0.606060606,1,0.052631579,0,0.44512735,0.787321063,0,0,1,1,0,0,-2,-10,8
Scene 648,0.719101124,1,0.306005802,1,0.5,1,0.5,0.5,0.5,1,1,0,0.5,1,0,0,0.696629213,0.725490196,0.98989899,0.06122449,0.473684211,1,0.355117429,0.791411043,0,0,0,1,1,1,-2,10,8
Scene 649,0.853932584,1,0.819798593,1,0.5,0.5,0,1,0.5,0.5,0,1,0.5,0.5,1,0.862745098,0.314606742,0.941176471,0.939393939,0.489795918,0.263157895,1,0.488578498,0.707566462,0,0,0,1,1,0,-2,-10,10
Scene 650,0.752808989,1,0.356911693,0.5,1,1,1,0.5,0,1,1,0.5,1,0.5,0.5,0.098039216,0.325842697,0.823529412,0.828282828,0.306122449,0.263157895,1,0.804967998,0.971370143,0,0,0,1,1,0,-2,-10,10
Scene 651,0.359550562,0,0.100404599,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.392156863,0.752808989,0.254901961,0.757575758,0.551020408,0.842105263,0,0.707196584,0.323108384,0,0,1,0,1,1,8,10,10
Scene 652,0.516853933,0,0.467336779,0.5,0.5,0.5,0,0.5,0.5,0.5,1,0.5,0.5,0.5,1,0.725490196,0.573033708,0.31372549,0.98989899,0.93877551,0.631578947,0,0.523466849,0.411042945,0,0,0,1,1,0,10,-10,10
Scene 653,0.179775281,1,0.375437385,0.5,0.5,0,1,0.5,0,1,1,0.5,0.5,1,0,0.156862745,0.202247191,0.156862745,0.878787879,0.673469388,0.105263158,1,0.785587246,0.687116564,0,0,0,1,1,0,10,-10,10
Scene 654,0.438202247,0,0.246115561,0.5,0.5,0,0,1,0.5,0,0.5,0,0.5,0.5,0,0.960784314,0.449438202,0.137254902,0.474747475,0.102040816,0.421052632,0,0.870352902,0.296523517,0,0,0,1,0,1,10,10,8
Scene 655,0.483146067,1,0.266148921,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,1,0.764705882,1,0,0.636363636,0.693877551,0.157894737,1,0.808369114,0.742331288,0,0,0,1,1,0,10,-10,10
Scene 656,0.95505618,0,0.335944329,0.5,0,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,1,0.509803922,0.573033708,0.803921569,0.727272727,0.306122449,0.684210526,0,0.520611756,0.433537832,0,0,1,0,0,1,-2,-10,10
Scene 657,0.460674157,1,0.538772244,0.5,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.392156863,0.966292135,0.745098039,0.919191919,0.632653061,0.263157895,1,0.538026655,0.736196319,0,0,1,0,0,0,10,-10,10
Scene 658,0.337078652,1,0.675639439,0.5,1,1,0.5,0.5,1,0.5,1,0.5,1,0,0,0.607843137,0.898876404,0.901960784,0.202020202,0.224489796,0.578947368,1,0.08501546,0.376278119,0,0,1,1,0,1,10,10,8
Scene 659,0.056179775,1,0.204841427,1,0.5,0.5,1,1,0.5,0.5,0.5,0.5,0.5,0.5,1,0.529411765,0.505617978,0.529411765,0.171717172,0.897959184,0.263157895,1,0.859493285,0.008179959,0,0,0,1,0,0,10,-10,8
Scene 660,0.820224719,0,0.604741251,0.5,0.5,0,0.5,0,1,0.5,0.5,1,0,0,0.5,0.980392157,0.460674157,0.31372549,0.222222222,0.510204082,0.210526316,0,0.726564505,0.047034765,0,0,1,0,0,1,-2,10,10
Scene 661,0.168539326,0,0.224766446,0.5,0.5,0,1,1,0.5,0.5,1,1,0.5,1,0.5,0.921568627,0.97752809,0.078431373,0.424242424,0.163265306,1,0,0.999438999,0.993865031,0,0,1,0,0,0,10,-10,10
Scene 662,0.943820225,1,0.793528806,0.5,1,0.5,0,0,0.5,0.5,0.5,0.5,0,0.5,1,0.745098039,0.674157303,0.294117647,0.101010101,0.040816327,0.421052632,1,0.657478859,0.17791411,0,0,0,1,1,1,-2,10,10
Scene 663,0.011235955,0,0.694836335,0.5,0,0,0.5,0.5,0.5,0,0.5,0.5,1,0,0.5,0.058823529,0.337078652,0.901960784,0.070707071,0.918367347,0.368421053,0,0.528900309,0.155419223,0,0,1,1,1,1,-2,-10,10
Scene 664,0.853932584,0,0.313146002,0,1,0.5,1,1,0,0.5,0.5,0,1,0.5,0.5,0.333333333,0.483146067,0.705882353,0.333333333,0,0.842105263,0,0.538025781,0.298568507,1,0,1,0,1,0,-2,-10,10
Scene 665,0.887640449,0,0.962704559,0.5,0.5,0.5,0.5,1,1,0.5,0.5,0,1,0.5,0.5,0.647058824,0.775280899,0.725490196,0.919191919,0.571428571,0,0,0.773150232,0.644171779,0,0,0,0,1,1,2,10,10
