Scene no.,oil_spill_size,evaporation_and_natural_disperson,persistence,oil_amount_to_recover,E_ss,E_sl,E_sw,E_sb,sufficient_mixing_energy,seasurface,seawater,Rtime_ss,Rtime_sw,E_ssC,E_slC,E_swC,E_sbC,soot_pollution,residue_recovery,displacement,E_ssI,E_slI,E_swI,E_sbI,water_temp,wind,air_temp,ice,oil_density,oil_viscosity,oil_amount_to_recover.1,displacement.1,retaining_capacity,shoreline_length,distance_to_inhabitation,mcr_DT_output,cdu_DT_output,isb_DT_output
Scene 478,LARGE,41,1,0.32061249,0,0,0,0,yes,Large,Large,Short,Short,0,0,0,-1,YES soot pollution,no,yes,0,0,-1,0,-5,44,-3,67,23,20,0.32061249,yes,1,4.084038222,45,OK ,Not recommended ,OK 
Scene 479,SMALL,79,0,1.56457293,0,0,0,1,yes,Large,Large,Short,Short,0,0,0,1,YES soot pollution,yes,no,0,0,0,0,-28,85,-40,91,37,13,1.56457293,no,0,3.100471607,118,Go to next season ,OK ,Consider 
Scene 480,LARGE,50,0,1.134648561,0,0,1,0,no,Large,Large,Short,Short,0,0,0,0,NO soot pollution,yes,yes,0,0,1,0,-16,27,-28,80,5,3,1.134648561,yes,0,2.525419258,172,OK ,Not recommended ,OK 
Scene 481,LARGE,74,0,1.082106113,0,0,-1,0,no,Large,Large,Short,Short,0,0,0,0,NO soot pollution,no,yes,0,0,0,0,-27,25,-17,7,30,10,1.082106113,yes,0,4.717437338,112,OK ,Not recommended ,OK 
Scene 482,SMALL,15,1,0.189802423,0,0,0,0,yes,Large,Large,Short,Short,0,0,0,0,YES soot pollution,no,no,0,0,0,-1,-29,43,-11,12,42,6,0.189802423,no,1,4.57586955,212,Consider ,OK ,Consider 
Scene 483,LARGE,14,0,1.360401034,1,0,0,1,yes,Large,Large,Short,Short,1,0,0,1,YES soot pollution,yes,yes,0,0,0,-1,-5,76,-40,89,44,16,1.360401034,yes,0,1.904736638,186,OK ,OK ,OK 
Scene 484,MEDIUM,56,1,0.26280874,0,0,0,1,no,Large,Large,Short,Short,0,0,0,0,NO soot pollution,yes,no,-1,0,0,0,-23,68,-27,22,21,9,0.26280874,no,1,4.081129555,163,Consider ,Not recommended ,OK 
Scene 485,MEDIUM,87,0,0.846027195,1,0,0,0,no,Large,Large,Short,Short,1,0,-1,0,NO soot pollution,no,no,0,0,1,0,-18,13,-25,21,28,19,0.846027195,no,0,4.585783193,411,Unknown,Not recommended ,OK 
Scene 486,SMALL,20,1,0.728234947,0,0,0,1,yes,Large,Large,Short,Short,1,0,0,0,YES soot pollution,yes,yes,1,0,0,0,-18,35,-7,38,18,20,0.728234947,yes,1,3.973971514,472,Consider ,OK ,OK 
Scene 487,SMALL,24,0,0.810049891,-1,0,0,1,no,Large,Large,Short,Short,1,0,0,1,NO soot pollution,no,no,-1,0,0,-1,-34,12,-10,79,34,16,0.810049891,no,0,3.621291674,173,Unknown,Not recommended ,Consider 
Scene 488,LARGE,17,0,1.527271032,0,0,0,-1,yes,Large,Large,Short,Short,0,1,0,0,NO soot pollution,no,no,0,0,0,1,-33,28,-35,76,43,14,1.527271032,no,0,4.256678324,84,OK ,OK ,OK 
Scene 489,MEDIUM,50,1,0.177263618,1,-1,0,-1,yes,Large,Large,Short,Short,0,-1,0,1,NO soot pollution,yes,yes,-1,0,0,0,-41,91,-7,84,19,8,0.177263618,yes,1,3.527428626,475,OK ,OK ,OK 
Scene 490,LARGE,83,1,0.343455702,0,0,-1,1,yes,Large,Large,Short,Short,0,0,-1,-1,NO soot pollution,no,yes,0,0,1,1,-26,61,-14,8,49,12,0.343455702,yes,1,2.70239111,297,OK ,Not recommended ,OK 
Scene 491,LARGE,77,1,0.749422193,1,0,0,1,no,Large,Large,Short,Short,0,0,0,1,NO soot pollution,yes,no,0,0,0,0,-4,78,-8,90,5,4,0.749422193,no,1,3.259040773,448,OK ,Not recommended ,OK 
Scene 492,LARGE,41,0,0.628743589,0,1,0,0,no,Large,Large,Short,Short,0,-1,0,0,YES soot pollution,no,no,0,1,0,0,0,45,-42,22,11,4,0.628743589,no,0,1.395625141,477,OK ,Not recommended ,Consider 
Scene 493,LARGE,88,0,1.991090178,0,1,0,0,no,Large,Large,Short,Short,1,1,0,-1,YES soot pollution,no,yes,-1,0,0,0,-6,96,-4,74,43,6,1.991090178,yes,0,4.845579148,359,OK ,Not recommended ,OK 
Scene 494,MEDIUM,19,0,1.712313771,0,0,0,0,no,Large,Large,Short,Short,1,0,0,0,YES soot pollution,no,yes,1,0,0,0,-50,15,-3,3,6,13,1.712313771,yes,0,4.405202135,218,OK ,Not recommended ,OK 
Scene 495,LARGE,40,0,0.958734035,0,-1,0,0,yes,Large,Large,Short,Short,0,0,0,0,NO soot pollution,no,no,0,1,0,0,-40,74,-24,76,21,16,0.958734035,no,0,3.881235229,433,OK ,OK ,OK 
Scene 496,MEDIUM,36,1,1.913031697,0,-1,0,1,yes,Large,Large,Short,Short,0,1,0,1,YES soot pollution,yes,yes,0,0,0,1,-34,54,-5,75,10,5,1.913031697,yes,1,2.776547972,464,OK ,OK ,OK 
Scene 497,MEDIUM,34,1,0.391360015,-1,0,-1,1,no,Large,Large,Short,Short,-1,0,-1,1,YES soot pollution,no,no,-1,0,-1,0,-41,80,-50,36,30,17,0.391360015,no,1,3.099871894,368,OK ,Not recommended ,Consider 
Scene 498,LARGE,54,1,0.219375357,0,0,0,0,yes,Large,Large,Short,Short,0,0,0,0,YES soot pollution,yes,yes,0,0,0,-1,0,44,-40,18,42,11,0.219375357,yes,1,4.836976507,300,OK ,OK ,OK 
Scene 499,MEDIUM,77,0,0.503341913,0,0,1,0,yes,Large,Large,Short,Short,0,0,0,0,NO soot pollution,no,yes,0,0,0,0,-46,63,-45,74,31,8,0.503341913,yes,0,4.531753425,378,Unknown,OK ,OK 
Scene 500,LARGE,92,0,1.432855248,0,0,-1,0,no,Large,Large,Short,Short,0,0,-1,1,YES soot pollution,yes,no,0,0,-1,1,-18,66,-1,69,37,7,1.432855248,no,0,1.195355531,284,OK ,Not recommended ,Consider 
Scene 501,SMALL,37,0,0.439284891,0,0,0,0,no,Large,Large,Short,Short,0,-1,0,-1,YES soot pollution,no,yes,0,0,0,0,-18,28,-9,65,18,3,0.439284891,yes,0,2.766662303,486,Consider ,Not recommended ,OK 
Scene 502,SMALL,82,1,0.832729638,0,0,1,1,no,Large,Large,Short,Short,0,0,1,0,NO soot pollution,yes,yes,0,0,0,1,-34,84,-31,70,7,18,0.832729638,yes,1,3.696375106,295,Unknown,Not recommended ,OK 
Scene 503,LARGE,69,1,1.130644798,0,0,1,0,yes,Large,Large,Short,Short,-1,1,0,-1,YES soot pollution,yes,yes,1,0,1,1,-25,88,-8,7,45,13,1.130644798,yes,1,4.140977585,208,OK ,Not recommended ,OK 
Scene 504,SMALL,38,0,1.997807026,1,0,-1,0,no,Large,Large,Short,Short,1,0,0,0,NO soot pollution,no,yes,1,0,1,0,-35,42,-3,88,34,8,1.997807026,yes,0,3.033792574,408,Unknown,Not recommended ,OK 
Scene 505,LARGE,29,1,1.388634801,0,0,0,0,yes,Large,Large,Short,Short,0,0,0,0,NO soot pollution,yes,yes,0,0,0,-1,-30,49,-30,15,21,8,1.388634801,yes,1,3.030706271,228,OK ,OK ,OK 
Scene 506,MEDIUM,30,0,1.722493649,-1,0,0,0,yes,Large,Large,Short,Short,1,0,0,0,YES soot pollution,yes,no,0,0,0,0,-15,83,-35,49,33,12,1.722493649,no,0,2.445914989,234,OK ,OK ,Consider 
Scene 507,SMALL,85,0,0.697725356,1,0,0,-1,yes,Large,Large,Short,Short,1,0,0,0,NO soot pollution,yes,no,-1,0,0,-1,-8,19,-28,70,44,4,0.697725356,no,0,3.551590361,471,Unknown,OK ,OK 
Scene 508,LARGE,34,0,0.240118593,-1,-1,0,0,yes,Large,Large,Short,Short,1,1,0,0,YES soot pollution,yes,yes,1,-1,0,0,-1,33,-42,5,16,19,0.240118593,yes,0,3.470930105,339,OK ,OK ,OK 
Scene 509,MEDIUM,55,1,0.319934815,0,0,-1,0,no,Large,Large,Short,Short,0,0,-1,0,YES soot pollution,no,no,0,0,1,1,-12,31,-26,97,22,20,0.319934815,no,1,3.46927432,197,Unknown,Not recommended ,Consider 
Scene 510,LARGE,72,0,0.635840952,-1,0,-1,0,yes,Large,Large,Short,Short,1,1,-1,0,YES soot pollution,yes,no,-1,1,0,0,-27,88,-46,74,48,21,0.635840952,no,0,2.712347771,68,OK ,OK ,Consider 
Scene 511,LARGE,51,0,1.274469018,-1,0,-1,0,no,Large,Large,Short,Short,0,0,-1,1,NO soot pollution,no,yes,-1,0,-1,1,-31,28,-41,2,28,20,1.274469018,yes,0,1.850153762,291,OK ,Not recommended ,Consider 
Scene 512,SMALL,52,1,1.145396709,1,0,0,1,yes,Large,Large,Short,Short,0,0,0,0,NO soot pollution,yes,yes,-1,0,0,0,-25,10,-36,33,15,2,1.145396709,yes,1,1.636194021,96,Unknown,OK ,OK 
Scene 513,SMALL,27,1,1.683589339,0,0,0,-1,no,Large,Large,Short,Short,0,0,0,1,NO soot pollution,yes,no,0,0,0,0,-50,75,-32,7,24,5,1.683589339,no,1,1.67340175,200,Consider ,Not recommended ,OK 
Scene 514,SMALL,99,0,1.85951376,-1,0,0,0,yes,Large,Large,Short,Short,1,0,0,0,NO soot pollution,yes,yes,0,0,0,0,-39,39,-28,53,25,14,1.85951376,yes,0,4.896749665,294,Unknown,OK ,OK 
Scene 515,MEDIUM,38,1,0.202153265,0,0,0,0,yes,Large,Large,Short,Short,0,0,0,1,YES soot pollution,yes,no,0,1,0,1,-18,43,-41,72,10,9,0.202153265,no,1,4.328901482,44,OK ,OK ,Consider 
Scene 516,MEDIUM,78,0,1.674456596,0,0,0,1,yes,Large,Large,Short,Short,1,0,1,0,NO soot pollution,yes,no,0,0,1,0,-44,75,-43,54,3,6,1.674456596,no,0,1.832606205,440,Go to next season ,OK ,OK 
Scene 517,MEDIUM,78,0,1.315246463,0,0,0,0,no,Large,Large,Short,Short,-1,0,0,0,YES soot pollution,no,yes,0,0,0,0,-41,69,-29,32,44,12,1.315246463,yes,0,1.249852347,13,Go to next season ,Not recommended ,OK 
Scene 518,LARGE,50,0,0.386706769,0,0,0,0,yes,Large,Large,Short,Short,0,0,0,0,YES soot pollution,no,yes,0,0,0,0,-35,65,-11,83,3,11,0.386706769,yes,0,3.132365349,219,OK ,OK ,OK 
Scene 519,MEDIUM,46,0,0.244117677,-1,0,0,0,yes,Large,Large,Short,Short,1,-1,0,1,YES soot pollution,no,no,1,1,0,-1,-29,40,-43,44,42,20,0.244117677,no,0,4.724033123,419,OK ,OK ,Consider 
Scene 520,MEDIUM,74,1,1.227208853,1,0,0,-1,yes,Large,Large,Short,Short,0,0,-1,-1,YES soot pollution,yes,yes,-1,0,1,1,-1,22,-23,95,11,19,1.227208853,yes,1,1.831956041,381,Unknown,Not recommended ,Unknown
Scene 521,MEDIUM,99,0,1.331984997,0,0,0,-1,no,Large,Large,Short,Short,0,1,-1,-1,YES soot pollution,yes,no,1,0,-1,0,-47,84,-44,16,39,4,1.331984997,no,0,2.332782483,461,Go to next season ,Not recommended ,Consider 
Scene 522,MEDIUM,45,1,0.976378679,0,0,0,-1,no,Large,Large,Short,Short,0,0,0,-1,YES soot pollution,yes,yes,0,0,0,1,-43,27,-14,7,21,14,0.976378679,yes,1,1.461740571,100,OK ,Not recommended ,OK 
Scene 523,LARGE,85,1,0.986504495,0,0,0,0,no,Large,Large,Short,Short,0,0,0,-1,NO soot pollution,yes,yes,0,0,0,-1,-5,73,-10,68,46,4,0.986504495,yes,1,3.833769342,86,OK ,Not recommended ,OK 
Scene 524,LARGE,90,1,1.916580796,0,0,0,1,no,Large,Large,Short,Short,-1,0,0,-1,NO soot pollution,no,no,0,0,0,-1,-24,96,-5,51,18,3,1.916580796,no,1,4.643456734,338,OK ,Not recommended ,OK 
Scene 525,MEDIUM,82,1,0.355794281,0,0,0,0,yes,Large,Large,Short,Short,0,0,-1,0,YES soot pollution,yes,no,0,0,-1,1,-3,17,-29,94,1,3,0.355794281,no,1,3.956203941,63,Consider ,Not recommended ,Consider 
Scene 526,SMALL,70,1,1.743235707,1,0,-1,-1,yes,Large,Large,Short,Short,-1,0,-1,1,YES soot pollution,yes,yes,1,0,1,-1,-18,31,-36,46,33,20,1.743235707,yes,1,1.114922116,360,Unknown,Unknown,OK 
Scene 527,LARGE,14,0,1.350596666,1,1,0,0,no,Large,Large,Short,Short,-1,0,0,1,NO soot pollution,no,yes,1,1,0,-1,-45,25,-15,34,41,3,1.350596666,yes,0,2.76824523,410,OK ,Not recommended ,OK 
Scene 528,MEDIUM,77,1,1.3796345,-1,0,0,1,yes,Large,Large,Short,Short,0,0,0,0,NO soot pollution,yes,no,-1,0,0,0,-22,90,-33,25,9,13,1.3796345,no,1,2.049337839,86,Unknown,OK ,OK 
Scene 529,LARGE,62,0,1.045082569,-1,0,0,1,yes,Large,Large,Short,Short,-1,-1,0,1,YES soot pollution,yes,no,1,0,0,-1,-11,16,-50,94,32,9,1.045082569,no,0,4.67877708,456,OK ,Unknown,Consider 
Scene 530,SMALL,22,0,0.414781958,1,0,0,0,yes,Large,Large,Short,Short,1,0,0,0,NO soot pollution,yes,no,0,1,0,0,-5,43,-21,66,21,19,0.414781958,no,0,3.500377376,107,Unknown,OK ,OK 
Scene 531,SMALL,97,0,1.219596267,1,0,0,0,no,Large,Large,Short,Short,1,1,0,0,NO soot pollution,no,no,1,1,0,0,-19,78,-21,25,13,15,1.219596267,no,0,3.667605629,496,Unknown,Not recommended ,OK 
Scene 532,SMALL,91,0,1.034260392,1,0,-1,-1,yes,Large,Large,Short,Short,-1,0,0,0,YES soot pollution,yes,no,1,0,0,1,-41,90,-33,3,21,11,1.034260392,no,0,2.233586552,215,Unknown,OK ,Consider 
Scene 533,MEDIUM,63,1,1.098799586,-1,0,0,-1,yes,Large,Large,Short,Short,-1,0,1,1,NO soot pollution,yes,yes,-1,0,0,-1,-22,61,-2,43,35,16,1.098799586,yes,1,4.918318426,111,Unknown,Unknown,OK 
Scene 534,SMALL,37,0,0.933127582,0,0,0,0,no,Large,Large,Short,Short,0,0,-1,0,YES soot pollution,yes,yes,-1,0,1,0,-44,82,-33,31,18,16,0.933127582,yes,0,2.251026065,207,Consider ,Not recommended ,Unknown
Scene 535,SMALL,68,1,0.895855308,0,0,0,0,yes,Large,Large,Short,Short,0,0,0,-1,YES soot pollution,no,no,0,0,0,0,-14,70,-9,41,36,5,0.895855308,no,1,1.800705327,412,Consider ,Not recommended ,Consider 
Scene 536,MEDIUM,73,0,0.679078639,0,1,0,0,yes,Large,Large,Short,Short,0,-1,0,0,NO soot pollution,no,yes,0,-1,0,0,0,50,-19,16,24,2,0.679078639,yes,0,1.987907479,128,Unknown,OK ,OK 
Scene 537,MEDIUM,72,1,0.618307054,-1,0,0,0,yes,Large,Large,Short,Short,-1,0,0,-1,YES soot pollution,no,yes,-1,0,0,1,-15,25,-30,58,44,10,0.618307054,yes,1,3.462902181,485,Unknown,Not recommended ,Unknown
Scene 538,SMALL,71,0,0.700209796,0,0,0,0,no,Large,Large,Short,Short,0,0,0,0,NO soot pollution,no,yes,0,0,0,0,-5,55,-37,24,29,13,0.700209796,yes,0,3.701163539,425,Consider ,Not recommended ,OK 
Scene 539,LARGE,40,0,0.895572543,-1,0,1,-1,no,Large,Large,Short,Short,1,0,1,1,NO soot pollution,yes,yes,-1,0,0,1,-40,69,-39,27,26,20,0.895572543,yes,0,2.734090878,261,OK ,Not recommended ,Unknown
Scene 540,SMALL,26,1,1.277025223,0,0,-1,-1,yes,Large,Large,Short,Short,0,0,1,1,YES soot pollution,yes,yes,0,0,-1,1,-49,37,-29,90,15,20,1.277025223,yes,1,4.648209364,342,Unknown,OK ,OK 
Scene 541,LARGE,79,0,0.295120239,1,0,0,0,no,Large,Large,Short,Short,0,0,0,-1,NO soot pollution,yes,no,-1,1,0,0,-42,31,-48,59,13,15,0.295120239,no,0,3.616778502,497,OK ,Not recommended ,OK 
Scene 542,SMALL,32,0,1.986672282,0,0,0,0,no,Large,Large,Short,Short,0,0,0,0,NO soot pollution,yes,no,0,0,1,0,-39,41,-15,45,11,9,1.986672282,no,0,3.960070988,184,Go to next season ,Not recommended ,OK 
Scene 543,MEDIUM,81,0,1.72705245,0,0,0,0,no,Large,Small,Short,Short,0,0,1,1,YES soot pollution,no,yes,0,0,-1,-1,-33,19,-27,51,0,2,1.72705245,yes,0,1.417899089,25,Go to next season ,Not recommended ,OK 
Scene 544,LARGE,48,1,0.964229405,1,0,-1,-1,yes,Large,Large,Short,Short,0,0,0,0,NO soot pollution,yes,yes,0,0,1,1,-14,12,-5,93,13,9,0.964229405,yes,1,2.443000092,167,OK ,OK ,OK 
Scene 545,LARGE,54,0,1.91568768,1,-1,0,0,no,Large,Large,Short,Short,1,1,0,0,YES soot pollution,no,no,1,1,0,0,-3,37,-49,75,48,3,1.91568768,no,0,3.97451533,196,OK ,Not recommended ,Consider 
Scene 546,LARGE,43,1,0.10330487,0,0,-1,1,yes,Large,Large,Short,Short,-1,-1,-1,0,NO soot pollution,yes,yes,0,0,0,-1,-43,39,-29,55,45,15,0.10330487,yes,1,3.217065694,120,OK ,Unknown,OK 
Scene 547,SMALL,38,0,0.91552031,0,1,0,0,no,Large,Large,Short,Short,0,-1,0,0,NO soot pollution,no,no,0,1,0,0,-13,46,-25,5,19,2,0.91552031,no,0,2.289034398,117,Unknown,Not recommended ,OK 
Scene 548,MEDIUM,98,1,0.739549637,0,0,0,-1,no,Large,Large,Short,Short,1,1,-1,-1,YES soot pollution,no,yes,-1,0,0,-1,-36,55,-37,36,22,9,0.739549637,yes,1,3.550443555,413,Consider ,Not recommended ,Consider 
Scene 549,SMALL,98,0,0.487534642,0,0,0,-1,yes,Large,Large,Short,Short,0,1,0,0,NO soot pollution,no,no,0,0,0,0,-19,20,-14,3,43,2,0.487534642,no,0,4.823229427,483,Consider ,OK ,OK 
Scene 550,MEDIUM,51,0,1.65860045,1,0,0,-1,yes,Large,Large,Short,Short,0,0,0,0,YES soot pollution,yes,no,1,0,0,0,-7,21,-22,26,46,7,1.65860045,no,0,2.605192612,101,Unknown,OK ,Consider 
Scene 551,MEDIUM,83,0,1.732676864,1,1,1,-1,yes,Large,Large,Short,Short,-1,1,0,1,YES soot pollution,yes,no,0,0,1,1,-9,64,-41,71,41,12,1.732676864,no,0,2.980403054,94,OK ,Unknown,Consider 
Scene 552,LARGE,61,1,1.712834835,0,0,1,-1,no,Large,Large,Short,Short,0,0,1,-1,YES soot pollution,yes,no,0,0,0,1,-19,48,-25,1,22,18,1.712834835,no,1,2.068345366,427,OK ,Not recommended ,Consider 
Scene 553,MEDIUM,92,1,0.726657927,1,0,0,1,no,Large,Large,Short,Short,1,0,0,-1,NO soot pollution,no,no,-1,0,0,1,-5,87,-49,20,47,17,0.726657927,no,1,1.40945649,67,Unknown,Not recommended ,Unknown
Scene 554,LARGE,19,0,1.713592768,0,0,-1,0,yes,Large,Large,Short,Short,0,0,0,1,NO soot pollution,yes,yes,0,0,1,1,-25,86,-2,34,2,5,1.713592768,yes,0,2.002027355,102,OK ,OK ,OK 
Scene 555,SMALL,36,0,1.949230313,0,1,-1,0,yes,Large,Large,Short,Short,1,1,1,0,NO soot pollution,yes,no,0,1,1,0,-44,40,-26,3,42,17,1.949230313,no,0,2.688589449,36,Unknown,OK ,OK 
Scene 556,MEDIUM,96,1,1.788791537,0,0,-1,1,no,Large,Large,Short,Short,0,0,-1,-1,YES soot pollution,yes,yes,0,0,-1,-1,-33,18,-7,42,10,10,1.788791537,yes,1,1.876755671,436,Unknown,Not recommended ,OK 
Scene 557,SMALL,19,0,1.018334389,-1,1,0,1,yes,Large,Large,Short,Short,-1,-1,0,-1,YES soot pollution,yes,no,1,0,0,0,-14,57,-25,61,20,19,1.018334389,no,0,3.608542333,429,Unknown,Not recommended ,Consider 
Scene 558,LARGE,69,0,0.127715647,1,0,1,0,yes,Large,Large,Short,Short,0,0,-1,0,YES soot pollution,yes,no,-1,0,0,0,-33,51,-34,30,19,12,0.127715647,no,0,2.271493013,373,OK ,Not recommended ,Consider 
Scene 559,LARGE,26,1,0.423536122,1,0,0,0,yes,Large,Large,Short,Short,-1,-1,-1,0,NO soot pollution,no,no,0,-1,0,0,-5,83,-10,57,39,14,0.423536122,no,1,3.320556342,296,OK ,Unknown,OK 
Scene 560,LARGE,63,1,1.94615984,0,0,1,0,no,Large,Large,Short,Short,0,-1,1,-1,NO soot pollution,no,yes,-1,-1,1,1,-19,15,-4,12,34,14,1.94615984,yes,1,2.218773116,96,OK ,Not recommended ,Unknown
Scene 561,SMALL,63,1,0.764351785,-1,0,-1,1,no,Large,Large,Short,Short,1,0,1,0,YES soot pollution,yes,no,-1,0,0,-1,-44,17,-45,28,30,15,0.764351785,no,1,1.349620009,434,Unknown,Not recommended ,Consider 
Scene 562,MEDIUM,23,0,1.169783235,0,0,0,1,no,Large,Large,Short,Short,0,0,0,0,YES soot pollution,yes,yes,0,0,0,-1,-8,64,-46,16,7,8,1.169783235,yes,0,1.454324437,317,OK ,Not recommended ,OK 
Scene 563,MEDIUM,45,1,0.368778914,0,-1,1,0,yes,Large,Large,Short,Short,0,1,0,1,NO soot pollution,no,yes,0,1,-1,0,-9,23,-22,10,47,11,0.368778914,yes,1,3.626195556,225,OK ,OK ,OK 
Scene 564,MEDIUM,79,0,1.657334208,0,1,0,1,no,Large,Large,Short,Short,0,-1,0,-1,YES soot pollution,yes,no,0,-1,0,-1,-30,79,-22,10,34,11,1.657334208,no,0,2.832435278,113,Unknown,Not recommended ,Consider 
Scene 565,SMALL,32,1,1.311151266,0,0,0,-1,yes,Large,Large,Short,Short,0,1,0,-1,YES soot pollution,no,no,0,0,0,1,-25,80,-12,1,29,19,1.311151266,no,1,4.128859834,363,Consider ,Not recommended ,Consider 
Scene 566,MEDIUM,38,1,1.040362716,1,0,-1,-1,no,Large,Large,Short,Short,-1,0,0,-1,NO soot pollution,yes,yes,-1,0,0,-1,-11,70,-7,84,33,11,1.040362716,yes,1,3.834533359,412,OK ,Not recommended ,OK 
Scene 567,MEDIUM,96,0,1.068890929,0,0,0,0,yes,Large,Large,Short,Short,-1,0,0,1,YES soot pollution,yes,yes,-1,0,0,-1,-2,87,-18,48,13,9,1.068890929,yes,0,4.930960637,377,Go to next season ,Unknown,OK 
Scene 568,LARGE,24,1,0.255891651,0,1,0,-1,no,Large,Large,Short,Short,0,-1,0,1,YES soot pollution,yes,no,0,0,0,0,-6,21,-50,60,10,16,0.255891651,no,1,2.69654968,261,OK ,Not recommended ,Consider 
Scene 569,MEDIUM,13,1,1.168352246,0,-1,0,1,no,Large,Large,Short,Short,0,1,0,1,NO soot pollution,no,no,0,-1,0,-1,-42,20,-38,72,15,4,1.168352246,no,1,4.659599928,73,OK ,Not recommended ,OK 
Scene 570,SMALL,86,1,1.80175221,-1,0,0,0,yes,Large,Large,Short,Short,0,0,0,-1,NO soot pollution,yes,no,1,0,0,1,-28,50,-20,15,5,8,1.80175221,no,1,4.48774077,397,Unknown,Not recommended ,OK 
Scene 571,SMALL,59,0,0.756299496,0,0,1,0,no,Large,Large,Short,Short,0,0,0,0,NO soot pollution,no,no,0,0,-1,0,-31,95,-10,40,22,14,0.756299496,no,0,1.222563683,350,Unknown,Not recommended ,OK 
Scene 572,SMALL,88,1,1.083294392,0,0,0,1,yes,Large,Large,Short,Short,0,0,0,1,YES soot pollution,no,yes,0,0,0,0,-9,32,-49,36,39,6,1.083294392,yes,1,1.680278539,221,Consider ,OK ,OK 
Scene 573,LARGE,67,0,0.317445487,0,1,1,0,no,Large,Large,Short,Short,0,0,1,0,NO soot pollution,no,no,0,0,-1,0,-30,86,-8,16,2,12,0.317445487,no,0,2.818539905,261,OK ,Not recommended ,OK 
Scene 574,MEDIUM,20,1,0.503343642,0,0,0,0,no,Large,Large,Short,Short,0,0,0,-1,YES soot pollution,yes,yes,0,0,0,1,-4,31,-39,35,43,16,0.503343642,yes,1,1.968779081,103,OK ,Not recommended ,OK 
Scene 575,MEDIUM,54,1,1.39556694,1,0,0,-1,yes,Large,Large,Short,Short,-1,0,0,1,NO soot pollution,no,no,-1,0,0,-1,-6,29,-13,21,3,12,1.39556694,no,1,3.309866835,123,Unknown,Unknown,Consider 
Scene 576,SMALL,55,1,0.253198713,0,0,0,0,no,Large,Large,Short,Short,0,0,0,0,NO soot pollution,yes,no,0,0,0,1,-6,79,-39,20,26,2,0.253198713,no,1,2.742773938,185,Consider ,Not recommended ,OK 
Scene 577,SMALL,92,1,0.776467621,-1,0,0,-1,yes,Large,Large,Short,Short,-1,0,-1,1,NO soot pollution,yes,yes,-1,0,-1,1,-46,99,-38,99,28,18,0.776467621,yes,1,3.56268942,390,Unknown,Unknown,OK 
Scene 578,SMALL,30,1,0.29269895,0,0,-1,0,yes,Large,Large,Short,Short,-1,1,-1,-1,YES soot pollution,yes,yes,-1,-1,1,1,-35,54,-39,4,27,4,0.29269895,yes,1,3.788140473,272,Unknown,Not recommended ,Unknown
Scene 579,MEDIUM,61,1,1.900506973,0,-1,0,1,yes,Large,Large,Short,Short,0,0,0,1,NO soot pollution,yes,no,0,1,0,1,-33,10,-10,14,29,9,1.900506973,no,1,4.24715823,175,Unknown,OK ,OK 
Scene 580,MEDIUM,12,0,1.388911843,0,-1,-1,0,yes,Large,Large,Short,Short,0,0,1,0,NO soot pollution,yes,no,0,-1,-1,0,-10,32,-9,87,34,17,1.388911843,no,0,4.188017199,249,OK ,OK ,OK 
Scene 581,LARGE,47,1,1.710108161,0,-1,1,1,yes,Large,Small,Short,Short,0,0,-1,-1,NO soot pollution,no,no,0,-1,0,0,-42,83,-26,6,0,7,1.710108161,no,1,2.547803261,276,OK ,Not recommended ,OK 
Scene 582,MEDIUM,93,0,1.345312357,1,0,1,1,yes,Large,Large,Short,Short,1,0,1,0,YES soot pollution,yes,no,1,0,-1,1,-20,96,1,0,44,9,1.345312357,no,0,2.787311148,455,Unknown,OK ,Consider 
Scene 583,SMALL,56,1,0.446844906,0,0,0,-1,yes,Large,Large,Short,Short,0,0,1,0,NO soot pollution,yes,no,0,0,1,-1,-41,81,-24,92,31,21,0.446844906,no,1,4.441325415,126,Consider ,OK ,OK 
Scene 584,SMALL,86,0,0.488016546,1,-1,0,0,yes,Large,Large,Short,Short,1,1,0,0,NO soot pollution,yes,no,0,-1,0,0,-3,60,-21,97,18,8,0.488016546,no,0,3.931359642,315,Unknown,OK ,OK 
Scene 585,SMALL,26,0,1.49526763,0,0,0,0,yes,Large,Large,Short,Short,0,0,0,0,NO soot pollution,no,no,0,0,0,0,-39,47,-41,99,34,4,1.49526763,no,0,3.873456556,46,Go to next season ,OK ,OK 
Scene 586,MEDIUM,43,1,1.318599224,0,1,0,0,yes,Large,Large,Short,Short,0,1,0,0,NO soot pollution,no,yes,0,1,0,0,-1,50,-30,53,15,14,1.318599224,yes,1,4.199784017,275,OK ,OK ,OK 
Scene 587,LARGE,16,0,1.939421058,0,1,1,0,yes,Large,Large,Short,Short,1,-1,-1,0,YES soot pollution,yes,yes,-1,-1,-1,0,-48,13,-1,61,47,5,1.939421058,yes,0,1.936537329,95,OK ,OK ,Unknown
Scene 588,SMALL,48,0,1.842537165,1,0,-1,-1,no,Large,Large,Short,Short,-1,-1,0,-1,YES soot pollution,no,no,1,1,0,1,-40,12,-29,58,35,2,1.842537165,no,0,1.46901221,360,Unknown,Not recommended ,Consider 
Scene 589,SMALL,84,1,1.927108884,0,0,-1,0,no,Large,Large,Short,Short,1,0,0,1,YES soot pollution,no,no,1,0,1,-1,-15,99,-42,97,32,13,1.927108884,no,1,2.294437176,311,Unknown,Not recommended ,Consider 
